Title,Price,Rating
Apple iPhone 13 128 GB Beyaz,33.999 TL,"4,8"
Nothing Phone 2A Plus 256 GB 12 GB Ram (Nothing Türkiye Garantili) Siyah,22.999 TL,5
Apple iPhone 13 128 GB Siyah,33.699 TL,"4,8"
Nothing Phone (2a) 256 GB 12 GB Ram (Nothing Türkiye Garantili) Siyah,18.999 TL,"4,6"
Redmi Note 14 Pro 12GB 512GB (Xiaomi Türkiye Garantili),18.999 TL,"4,5"
Samsung Galaxy A16 128 GB 6 GB Ram (Samsung Türkiye Garantili) Gri,"9.848,77 TL","4,8"
Samsung Galaxy A16 128 GB 6 GB Ram (Samsung Türkiye Garantili) Siyah,9.480 TL,"4,8"
Samsung Galaxy A16 8 GB / 256 GB Siyah (Samsung Türkiye Garantili),"10.484,06 TL","4,7"
Nothing Phone 1 256 GB 8 GB Ram (Nothing Türkiye Garantili) Siyah,13.799 TL,"4,7"
Realme 12+ 5G 8GB 256GB (Realme Türkiye Garantili) Yeşil,N/A,"4,6"
